City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sabang,ID,2022-11-20 17:04:58,5.8933,95.3214,81.63,78,100,17.81
1,Nyurba,RU,2022-11-20 17:04:59,63.2842,118.3319,-20.42,100,70,3.87
2,Jamestown,US,2022-11-20 17:02:58,42.097,-79.2353,23.72,76,100,14.97
3,Talnakh,RU,2022-11-20 17:04:59,69.4865,88.3972,-16.22,95,96,4.45
4,San Vicente De Canete,PE,2022-11-20 17:05:00,-13.0751,-76.3835,70.68,69,66,8.68
5,Khatanga,RU,2022-11-20 17:05:00,71.9667,102.5,-31.45,100,90,3.87
6,Albany,US,2022-11-20 17:02:48,42.6001,-73.9662,33.03,34,3,7.0
7,Northam,GB,2022-11-20 17:05:01,51.0333,-4.2167,52.61,72,42,19.15
8,Rikitea,PF,2022-11-20 17:05:02,-23.1203,-134.9692,71.44,74,93,11.07
9,Kavaratti,IN,2022-11-20 17:05:02,10.5669,72.642,80.65,58,10,3.15
10,Kapaa,US,2022-11-20 17:01:04,22.0752,-159.319,74.12,90,18,3.0
11,Porto Novo,BJ,2022-11-20 17:05:03,6.4965,2.6036,81.73,78,84,9.78
12,Olafsvik,IS,2022-11-20 17:05:04,64.8945,-23.7142,43.36,80,74,16.6
13,Bredasdorp,ZA,2022-11-20 17:05:05,-34.5322,20.0403,64.35,62,20,9.64
14,Ayan,RU,2022-11-20 17:05:05,56.45,138.1667,27.82,94,100,12.73
15,Kampong Thum,KH,2022-11-20 17:05:05,12.7111,104.8887,72.95,98,100,5.46
16,Sakakah,SA,2022-11-20 17:05:06,29.9697,40.2064,62.13,48,0,7.49
17,West Wendover,US,2022-11-20 17:05:06,40.7391,-114.0733,22.21,63,0,3.44
18,Qaanaaq,GL,2022-11-20 17:05:07,77.484,-69.3632,-6.34,52,8,1.1
19,Vaini,TO,2022-11-20 17:05:07,-21.2,-175.2,76.44,73,100,5.66
20,Coahuayana,MX,2022-11-20 17:05:07,18.7333,-103.6833,84.69,58,96,2.55
21,Svobodnyy,RU,2022-11-20 17:05:08,51.4,128.1333,3.6,92,47,7.05
22,Atuona,PF,2022-11-20 17:01:03,-9.8,-139.0333,77.34,72,29,11.16
23,Broome,US,2022-11-20 17:05:09,42.2506,-75.833,30.47,51,75,20.71
24,Beringovskiy,RU,2022-11-20 17:05:09,63.05,179.3167,-0.87,86,46,22.79
25,Butaritari,KI,2022-11-20 17:00:41,3.0707,172.7902,80.13,80,15,12.06
26,Tura,IN,2022-11-20 17:05:10,25.5198,90.2201,61.02,74,10,2.82
27,Ajdabiya,LY,2022-11-20 17:05:10,30.7554,20.2263,72.3,19,95,9.17
28,Pisco,PE,2022-11-20 17:01:49,-13.7,-76.2167,68.02,78,61,10.09
29,Ushuaia,AR,2022-11-20 17:05:11,-54.8,-68.3,49.66,62,40,8.05
30,Praid,RO,2022-11-20 17:05:11,46.55,25.1333,42.31,93,100,1.43
31,Tungor,RU,2022-11-20 17:05:11,53.3808,142.9564,31.6,87,100,11.39
32,Bluff,NZ,2022-11-20 17:05:12,-46.6,168.3333,53.64,91,97,6.26
33,Knokke-Heist,BE,2022-11-20 17:05:13,51.3333,3.3333,51.03,76,64,5.99
34,Abu Dhabi,AE,2022-11-20 17:02:43,24.4667,54.3667,79.97,72,20,1.99
35,Mataura,NZ,2022-11-20 17:05:13,-46.1927,168.8643,51.06,99,95,2.66
36,Hobart,AU,2022-11-20 17:05:14,-42.8794,147.3294,47.26,78,91,17.27
37,Arraial Do Cabo,BR,2022-11-20 17:03:00,-22.9661,-42.0278,78.66,69,40,13.8
38,Gelemso,ET,2022-11-20 17:05:14,8.8167,40.5167,62.55,33,4,4.05
39,Vardo,NO,2022-11-20 17:05:15,70.3705,31.1107,33.78,86,100,6.91
40,Harper,LR,2022-11-20 17:05:15,4.375,-7.7169,78.98,83,97,5.97
41,Mbandaka,CD,2022-11-20 17:05:15,0.0487,18.2603,74.52,86,88,2.53
42,Busselton,AU,2022-11-20 17:05:16,-33.65,115.3333,50.99,79,0,11.72
43,Kavieng,PG,2022-11-20 17:05:16,-2.5744,150.7967,80.96,69,90,11.32
44,New Norfolk,AU,2022-11-20 17:06:17,-42.7826,147.0587,46.92,73,91,8.99
45,Isangel,VU,2022-11-20 17:06:17,-19.55,169.2667,77.59,84,3,3.76
46,Tasiilaq,GL,2022-11-20 17:06:18,65.6145,-37.6368,39.36,83,100,17.58
47,Codrington,AU,2022-11-20 17:06:19,-38.2667,141.9667,45.14,80,100,23.29
48,Barrow,US,2022-11-20 17:06:19,71.2906,-156.7887,24.82,74,100,16.11
49,Kaitangata,NZ,2022-11-20 17:06:20,-46.2817,169.8464,50.04,98,48,0.4
50,Noyabrsk,RU,2022-11-20 17:06:20,63.1994,75.4507,-22.88,100,26,6.31
51,Punta Arenas,CL,2022-11-20 17:06:21,-53.15,-70.9167,55.51,44,75,28.77
52,Torbay,CA,2022-11-20 17:05:37,47.6666,-52.7314,40.28,79,58,1.99
53,Kudahuvadhoo,MV,2022-11-20 17:06:21,2.6708,72.8944,81.84,74,31,15.21
54,Sisophon,KH,2022-11-20 17:06:21,13.5859,102.9737,73.65,94,100,1.95
55,Kununurra,AU,2022-11-20 17:06:23,-15.7667,128.7333,78.78,94,100,0.0
56,Luderitz,NA,2022-11-20 17:06:23,-26.6481,15.1594,67.14,67,100,20.42
57,Waterloo,CA,2022-11-20 17:06:02,43.4668,-80.5164,24.03,63,40,19.57
58,Rio Grande,BR,2022-11-20 17:06:24,-32.035,-52.0986,89.71,64,100,16.37
59,Hirara,JP,2022-11-20 17:06:25,24.8,125.2833,76.06,74,36,14.41
60,Amazar,RU,2022-11-20 17:06:25,53.858,120.875,2.03,95,96,3.78
61,Port Alfred,ZA,2022-11-20 17:06:26,-33.5906,26.891,70.18,74,51,1.99
62,Lata,PT,2022-11-20 17:06:26,40.1629,-8.3327,62.08,97,96,4.79
63,Hambantota,LK,2022-11-20 17:06:27,6.1241,81.1185,77.43,86,13,4.27
64,Yellowknife,CA,2022-11-20 17:06:27,62.456,-114.3525,25.32,80,75,6.91
65,Tuktoyaktuk,CA,2022-11-20 17:06:28,69.4541,-133.0374,21.2,93,100,13.8
66,Wysokie Mazowieckie,PL,2022-11-20 17:06:28,52.9166,22.5171,23.32,94,37,8.72
67,Pevek,RU,2022-11-20 17:06:29,69.7008,170.3133,-24.59,98,100,9.31
