City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
0,Sabang,ID,2022-11-20 17:04:58,5.8933,95.3214,81.63,78,100,17.81,Hotel Citra
4,San Vicente De Canete,PE,2022-11-20 17:05:00,-13.0751,-76.3835,70.68,69,66,8.68,Hotel Konford
8,Rikitea,PF,2022-11-20 17:05:02,-23.1203,-134.9692,71.44,74,93,11.07,People ThankYou
9,Kavaratti,IN,2022-11-20 17:05:02,10.5669,72.642,80.65,58,10,3.15,Green leaf
10,Kapaa,US,2022-11-20 17:01:04,22.0752,-159.319,74.12,90,18,3.0,Sheraton Kauai Coconut Beach Resort
11,Porto Novo,BJ,2022-11-20 17:05:03,6.4965,2.6036,81.73,78,84,9.78,Tour Eiffel Hotel Benin
15,Kampong Thum,KH,2022-11-20 17:05:05,12.7111,104.8887,72.95,98,100,5.46,Sambor Village Hotel
19,Vaini,TO,2022-11-20 17:05:07,-21.2,-175.2,76.44,73,100,5.66,Keleti Beach Resort
20,Coahuayana,MX,2022-11-20 17:05:07,18.7333,-103.6833,84.69,58,96,2.55,El rranchito michuacan de ocampos
22,Atuona,PF,2022-11-20 17:01:03,-9.8,-139.0333,77.34,72,29,11.16,Villa Enata
25,Butaritari,KI,2022-11-20 17:00:41,3.0707,172.7902,80.13,80,15,12.06,Isles Sunset Lodge
27,Ajdabiya,LY,2022-11-20 17:05:10,30.7554,20.2263,72.3,19,95,9.17,Almadina Hotel
28,Pisco,PE,2022-11-20 17:01:49,-13.7,-76.2167,68.02,78,61,10.09,Hotel San Isidro Oficial
34,Abu Dhabi,AE,2022-11-20 17:02:43,24.4667,54.3667,79.97,72,20,1.99,Beach Rotana
37,Arraial Do Cabo,BR,2022-11-20 17:03:00,-22.9661,-42.0278,78.66,69,40,13.8,Pousada Porto Praia
40,Harper,LR,2022-11-20 17:05:15,4.375,-7.7169,78.98,83,97,5.97,Screensaver
41,Mbandaka,CD,2022-11-20 17:05:15,0.0487,18.2603,74.52,86,88,2.53,Guest House Epervier
43,Kavieng,PG,2022-11-20 17:05:16,-2.5744,150.7967,80.96,69,90,11.32,Nusa Island Retreat
45,Isangel,VU,2022-11-20 17:06:17,-19.55,169.2667,77.59,84,3,3.76,Tanna Lodge
53,Kudahuvadhoo,MV,2022-11-20 17:06:21,2.6708,72.8944,81.84,74,31,15.21,Niyama Private Islands Maldives
